num_auto,bw_plate_tx,bw_plate_rx,ocr_txt_tx,bits_equal,bit_errors,bits_tx,bits_rx
132,dataset_yolo/autos_bw/auto132.png,data-cable/autos_bw/auto132_rep08.png,LMN:134,False,9,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
133,dataset_yolo/autos_bw/auto133.png,data-cable/autos_bw/auto133_rep01.png,PDX389,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
133,dataset_yolo/autos_bw/auto133.png,data-cable/autos_bw/auto133_rep02.png,PDX389,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
133,dataset_yolo/autos_bw/auto133.png,data-cable/autos_bw/auto133_rep03.png,PDX389,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
133,dataset_yolo/autos_bw/auto133.png,data-cable/autos_bw/auto133_rep04.png,PDX389,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
133,dataset_yolo/autos_bw/auto133.png,data-cable/autos_bw/auto133_rep05.png,PDX389,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
133,dataset_yolo/autos_bw/auto133.png,data-cable/autos_bw/auto133_rep06.png,PDX389,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
134,dataset_yolo/autos_bw/auto134.png,data-cable/autos_bw/auto134_rep02.png,GPS 178,False,8,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
134,dataset_yolo/autos_bw/auto134.png,data-cable/autos_bw/auto134_rep03.png,GPS 178,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
134,dataset_yolo/autos_bw/auto134.png,data-cable/autos_bw/auto134_rep04.png,GPS 178,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
134,dataset_yolo/autos_bw/auto134.png,data-cable/autos_bw/auto134_rep05.png,GPS 178,False,10,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
134,dataset_yolo/autos_bw/auto134.png,data-cable/autos_bw/auto134_rep06.png,GPS 178,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
134,dataset_yolo/autos_bw/auto134.png,data-cable/autos_bw/auto134_rep07.png,GPS 178,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
135,dataset_yolo/autos_bw/auto135.png,data-cable/autos_bw/auto135_rep01.png,JEK 428,False,7,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
135,dataset_yolo/autos_bw/auto135.png,data-cable/autos_bw/auto135_rep02.png,JEK 428,False,48,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
135,dataset_yolo/autos_bw/auto135.png,data-cable/autos_bw/auto135_rep03.png,JEK 428,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
136,dataset_yolo/autos_bw/auto136.png,data-cable/autos_bw/auto136_rep01.png,700,False,15,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
136,dataset_yolo/autos_bw/auto136.png,data-cable/autos_bw/auto136_rep02.png,700,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
136,dataset_yolo/autos_bw/auto136.png,data-cable/autos_bw/auto136_rep03.png,700,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
137,dataset_yolo/autos_bw/auto137.png,data-cable/autos_bw/auto137_rep01.png,KTP 060,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
137,dataset_yolo/autos_bw/auto137.png,data-cable/autos_bw/auto137_rep02.png,KTP 060,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
137,dataset_yolo/autos_bw/auto137.png,data-cable/autos_bw/auto137_rep03.png,KTP 060,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
137,dataset_yolo/autos_bw/auto137.png,data-cable/autos_bw/auto137_rep04.png,KTP 060,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
154,dataset_yolo/autos_bw/auto154.png,data-cable/autos_bw/auto154_rep01.png,LLS 926,False,740,[1 1 1 ... 1 1 1],[0 0 0 ... 0 0 0]
154,dataset_yolo/autos_bw/auto154.png,data-cable/autos_bw/auto154_rep02.png,LLS 926,False,745,[1 1 1 ... 1 1 1],[0 0 0 ... 0 0 0]
138,dataset_yolo/autos_bw/auto138.png,data-cable/autos_bw/auto138_rep01.png,FOR 4381,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
139,dataset_yolo/autos_bw/auto139.png,data-cable/autos_bw/auto139_rep01.png,PFH232,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
139,dataset_yolo/autos_bw/auto139.png,data-cable/autos_bw/auto139_rep02.png,PFH232,False,2,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
139,dataset_yolo/autos_bw/auto139.png,data-cable/autos_bw/auto139_rep03.png,PFH232,False,5,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
33,dataset_yolo/autos_bw/auto033.png,data-cable/autos_bw/auto033_rep04.png,NKU:190,False,948,[0 0 0 ... 0 0 0],[1 0 1 ... 0 0 0]
140,dataset_yolo/autos_bw/auto140.png,data-cable/autos_bw/auto140_rep01.png,DDKZ1O,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
140,dataset_yolo/autos_bw/auto140.png,data-cable/autos_bw/auto140_rep02.png,DDKZ1O,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
140,dataset_yolo/autos_bw/auto140.png,data-cable/autos_bw/auto140_rep03.png,DDKZ1O,False,54,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
140,dataset_yolo/autos_bw/auto140.png,data-cable/autos_bw/auto140_rep04.png,DDKZ1O,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
140,dataset_yolo/autos_bw/auto140.png,data-cable/autos_bw/auto140_rep05.png,DDKZ1O,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
141,dataset_yolo/autos_bw/auto141.png,data-cable/autos_bw/auto141_rep01.png,400,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
141,dataset_yolo/autos_bw/auto141.png,data-cable/autos_bw/auto141_rep02.png,400,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
141,dataset_yolo/autos_bw/auto141.png,data-cable/autos_bw/auto141_rep03.png,400,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
137,dataset_yolo/autos_bw/auto137.png,data-cable/autos_bw/auto137_rep05.png,KTP 060,False,1081,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
141,dataset_yolo/autos_bw/auto141.png,data-cable/autos_bw/auto141_rep04.png,400,False,10,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
141,dataset_yolo/autos_bw/auto141.png,data-cable/autos_bw/auto141_rep05.png,400,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
142,dataset_yolo/autos_bw/auto142.png,data-cable/autos_bw/auto142_rep01.png,D.C:,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
142,dataset_yolo/autos_bw/auto142.png,data-cable/autos_bw/auto142_rep02.png,D.C:,False,3,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
142,dataset_yolo/autos_bw/auto142.png,data-cable/autos_bw/auto142_rep03.png,D.C:,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
142,dataset_yolo/autos_bw/auto142.png,data-cable/autos_bw/auto142_rep04.png,D.C:,False,8,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
142,dataset_yolo/autos_bw/auto142.png,data-cable/autos_bw/auto142_rep05.png,D.C:,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
143,dataset_yolo/autos_bw/auto143.png,data-cable/autos_bw/auto143_rep01.png,420,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
143,dataset_yolo/autos_bw/auto143.png,data-cable/autos_bw/auto143_rep02.png,420,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
143,dataset_yolo/autos_bw/auto143.png,data-cable/autos_bw/auto143_rep03.png,420,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
143,dataset_yolo/autos_bw/auto143.png,data-cable/autos_bw/auto143_rep04.png,420,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
144,dataset_yolo/autos_bw/auto144.png,data-cable/autos_bw/auto144_rep01.png,ICKA 779,False,5,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
144,dataset_yolo/autos_bw/auto144.png,data-cable/autos_bw/auto144_rep02.png,ICKA 779,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
144,dataset_yolo/autos_bw/auto144.png,data-cable/autos_bw/auto144_rep03.png,ICKA 779,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
145,dataset_yolo/autos_bw/auto145.png,data-cable/autos_bw/auto145_rep01.png,RBR 716,False,277,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
177,dataset_yolo/autos_bw/auto177.png,data-cable/autos_bw/auto177_rep01.png,ZIO568,False,726,[1 1 1 ... 0 0 0],[0 0 0 ... 0 0 0]
145,dataset_yolo/autos_bw/auto145.png,data-cable/autos_bw/auto145_rep02.png,RBR 716,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
146,dataset_yolo/autos_bw/auto146.png,data-cable/autos_bw/auto146_rep01.png,FPV 437,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
