num_auto,bw_plate_tx,bw_plate_rx,ocr_txt_tx,bits_equal,bit_errors,bits_tx,bits_rx
1,dataset_yolo/autos_bw/auto001.png,data_1m/autos_bw/auto001_rep01.png,KOZ.808,False,5,[0 0 1 ... 0 0 0],[0 0 1 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data_1m/autos_bw/auto002_rep01.png,MAU.096,False,3,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data_1m/autos_bw/auto002_rep02.png,MAU.096,False,3,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data_1m/autos_bw/auto002_rep03.png,MAU.096,False,5,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data_1m/autos_bw/auto002_rep04.png,MAU.096,False,15,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
3,dataset_yolo/autos_bw/auto003.png,data_1m/autos_bw/auto003_rep01.png,URO 387,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
4,dataset_yolo/autos_bw/auto004.png,data_1m/autos_bw/auto004_rep01.png,RLO 6561,False,1,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
4,dataset_yolo/autos_bw/auto004.png,data_1m/autos_bw/auto004_rep02.png,RLO 6561,False,1,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
5,dataset_yolo/autos_bw/auto005.png,data_1m/autos_bw/auto005_rep01.png,PCN 831,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
6,dataset_yolo/autos_bw/auto006.png,data_1m/autos_bw/auto006_rep01.png,FNU 056,False,5,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
6,dataset_yolo/autos_bw/auto006.png,data_1m/autos_bw/auto006_rep02.png,FNU 056,False,2,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
6,dataset_yolo/autos_bw/auto006.png,data_1m/autos_bw/auto006_rep03.png,FNU 056,False,3,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
128,dataset_yolo/autos_bw/auto128.png,data_1m/autos_bw/auto128_rep01.png,LPo806,False,901,[0 0 0 ... 1 1 0],[0 0 0 ... 0 0 0]
7,dataset_yolo/autos_bw/auto007.png,data_1m/autos_bw/auto007_rep01.png,BNH 4351,False,1,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
64,dataset_yolo/autos_bw/auto064.png,data_1m/autos_bw/auto064_rep01.png,DDX699,False,748,[1 0 1 ... 0 0 0],[1 1 0 ... 0 0 0]
7,dataset_yolo/autos_bw/auto007.png,data_1m/autos_bw/auto007_rep02.png,BNH 4351,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
8,dataset_yolo/autos_bw/auto008.png,data_1m/autos_bw/auto008_rep01.png,IIv 310,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
8,dataset_yolo/autos_bw/auto008.png,data_1m/autos_bw/auto008_rep02.png,IIv 310,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
9,dataset_yolo/autos_bw/auto009.png,data_1m/autos_bw/auto009_rep01.png,PAY581,False,4,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
9,dataset_yolo/autos_bw/auto009.png,data_1m/autos_bw/auto009_rep02.png,PAY581,False,5,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
9,dataset_yolo/autos_bw/auto009.png,data_1m/autos_bw/auto009_rep03.png,PAY581,False,8,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
10,dataset_yolo/autos_bw/auto010.png,data_1m/autos_bw/auto010_rep01.png,EJM 607,False,10,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
10,dataset_yolo/autos_bw/auto010.png,data_1m/autos_bw/auto010_rep02.png,EJM 607,False,3,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
